Team,Year,player_BPM_mean,player_BPM_max,player_BPM_std,player_BPM_count,player_ORtg_mean,player_ORtg_max,player_ORtg_min,player_PRPG!_mean,player_PRPG!_max,player_PRPG!_sum,player_Usg_mean,player_Usg_max,player_Usg_sum,player_eFG_mean,player_eFG_max,player_TS_mean,player_TS_max,player_Min%_sum,player_Min%_max,player_Ast_mean,player_Ast_max,player_TO_mean,player_Blk_mean,player_Blk_max,player_Stl_mean,player_Stl_max,player_Class Year_<lambda>
Penn,2023,5.7,5.7,,1,112.7,112.7,112.7,4.8,4.8,4.8,32.2,32.2,32.2,54.6,54.6,59.7,59.7,79.6,79.6,15.7,15.7,15.2,0.5,0.5,1.9,1.9,0
Penn St,2023,10.0,10.0,,1,118.7,118.7,118.7,6.6,6.6,6.6,29.3,29.3,29.3,55.2,55.2,57.6,57.6,89.8,89.8,39.3,39.3,13.2,1.6,1.6,1.6,1.6,1
Pepperdine,2019,3.4,3.4,,1,110.7,110.7,110.7,4.8,4.8,4.8,31.0,31.0,31.0,52.0,52.0,61.1,61.1,87.4,87.4,42.2,42.2,22.8,0.5,0.5,1.8,1.8,0
Pepperdine,2020,2.8,2.8,,1,104.1,104.1,104.1,4.6,4.6,4.6,31.5,31.5,31.5,47.5,47.5,54.4,54.4,92.3,92.3,40.0,40.0,20.7,0.5,0.5,1.6,1.6,0
Pittsburgh,2021,7.5,7.5,,1,115.0,115.0,115.0,4.8,4.8,4.8,24.6,24.6,24.6,51.6,51.6,54.9,54.9,78.1,78.1,10.4,10.4,10.3,4.3,4.3,2.0,2.0,0
Portland St,2023,5.7,5.7,,1,122.4,122.4,122.4,5.1,5.1,5.1,24.9,24.9,24.9,55.1,55.1,64.0,64.0,85.1,85.1,35.9,35.9,15.7,0.2,0.2,1.8,1.8,1
Princeton,2024,7.05,7.5,0.64,2,119.8,123.2,116.4,4.9,5.2,9.8,27.3,28.9,54.6,55.5,59.0,59.45,62.4,168.7,86.8,22.45,24.7,11.4,1.75,1.8,2.15,2.3,0
Providence,2021,6.0,6.0,,1,118.5,118.5,118.5,4.8,4.8,4.8,22.9,22.9,22.9,60.2,60.2,61.2,61.2,79.2,79.2,5.0,5.0,10.1,3.2,3.2,0.6,0.6,1
Providence,2024,11.4,11.4,,1,112.7,112.7,112.7,4.9,4.9,4.9,27.8,27.8,27.8,56.4,56.4,59.8,59.8,82.3,82.3,23.3,23.3,16.1,2.8,2.8,2.9,2.9,0
Purdue,2019,7.5,7.5,,1,108.0,108.0,108.0,6.0,6.0,6.0,34.8,34.8,34.8,49.0,49.0,54.1,54.1,87.3,87.3,18.3,18.3,15.5,1.0,1.0,2.3,2.3,0
Purdue,2023,14.3,14.3,,1,125.9,125.9,125.9,7.2,7.2,7.2,32.6,32.6,32.6,60.7,60.7,63.9,63.9,76.7,76.7,13.4,13.4,13.8,7.2,7.2,0.5,0.5,0
Purdue,2024,15.5,15.5,,1,128.8,128.8,128.8,7.9,7.9,7.9,33.4,33.4,33.4,62.4,62.4,65.9,65.9,79.2,79.2,14.6,14.6,12.7,6.9,6.9,0.5,0.5,1
