Rk,Class Year,Height,Player,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,2-point field goal percentage,3P/100,3P,3-point field goal percentage,Year
23,So,'5-11',Kendric Davis,SMU,Amer,73.9,5,4,116.5,23.9,49.8,55.7,2.1,11.6,39.2,17.9,0.4,2,36.4,99-193,0.513,6,'28-90',0.311,2020
24,Jr,'6-5',Jalen Harris,Nevada,MWC,79.6,5,7,111,31.8,51.3,56.1,2.5,17.5,26.5,12.8,0.5,1.9,32.8,156-315,0.495,10.5,'67-185',0.362,2020
25,Sr,'6-8',Quintin Dove,Tennessee Martin,OVC,85,5,-0.9,120.4,26.5,58.2,62.7,12.1,14.6,6.2,14.3,1,0.7,49.3,173-288,0.601,3.8,'20-61',0.328,2020
26,Sr,'6-6',Desmond Bane,TCU,B12,89.6,5,8.9,112.2,23.5,54.9,56.5,4.6,16.6,26,16.7,1.6,2.4,13.3,100-222,0.45,10.8,'87-198',0.439,2020
27,So,'6-10',Jalen Smith,Maryland,B10,78.1,5,10.8,120.1,22.6,59,62.6,11.5,25.4,6.1,14.3,8.3,1.3,47.4,136-225,0.604,5.3,'32-87',0.368,2020
28,Jr,'6-1',Jalen Crutcher,Dayton,A10,80.3,4.9,7.2,121.5,22.4,58.3,62.6,1.8,9.1,25.5,16,0.4,1.5,31.5,75-144,0.521,9.8,'72-170',0.424,2020
29,Jr,'6-5',Terry Taylor,Austin Peay,OVC,91.9,4.8,6.6,116.1,26.8,58.2,59.3,12.3,23.4,9.2,14.2,3.9,2.1,31.9,224-364,0.615,6,'38-119',0.319,2020
30,Sr,'6-8',Sha'markus Kennedy,McNeese St.,Slnd,81.8,4.8,6.3,126.4,23.2,68.2,70.5,12.9,25.6,10,17.5,9,1.2,47.2,205-299,0.686,0.2,'1-4',0.25,2020
31,Sr,'6-6',Sean McDermott,Butler,BE,82,4.8,8.3,129.9,15.4,60.4,63.9,4.4,18.4,6.2,8.4,1.5,1.3,27.1,54-86,0.628,10.1,'65-165',0.394,2020
32,Sr,'6-10',Nathan Knight,William & Mary,CAA,74.8,4.8,7.7,114,34.4,55.6,60.9,11.2,29.4,14.6,14.8,5.2,1.4,52.9,193-330,0.585,6.1,'29-95',0.305,2020
33,Fr,'6-9',Isaiah Stewart,Washington,P12,80.2,4.8,6.6,115.7,24.2,57.7,62.9,10.6,19.4,6.3,16.1,7,0.9,59.1,187-317,0.59,1.1,'5-20',0.25,2020
34,So,'6-10',Reggie Perry,Mississippi St.,SEC,77.7,4.8,7.5,112.9,28.8,53.1,58.7,12.4,25.1,16.1,19.1,4.1,1.6,53,160-295,0.542,4.3,'23-71',0.324,2020
35,Sr,'5-11',Desure Buie,Hofstra,CAA,94.1,4.8,5.9,115.4,26.4,53.3,58,1.6,9.7,31.8,17.2,0.3,3.2,31.3,133-284,0.468,8.4,'76-179',0.425,2020
36,Jr,'6-6',Elijah Hughes,Syracuse,ACC,91.1,4.7,6.7,110.5,25.5,51.1,56.1,1.3,13.3,20.1,14.2,2.9,1.8,35.8,120-236,0.508,11.3,'78-228',0.342,2020
37,Sr,'6-8',Yoeli Childs,BYU,WCC,43.6,4.7,8.4,109.2,35.6,60.8,60.3,8.7,28.2,17.5,13.3,3.3,1.5,30.4,153-260,0.588,4.8,'22-46',0.478,2020
38,Sr,'6-7',Tres Tinkle,Oregon St.,P12,86.2,4.7,7,109.4,28.3,50,55.9,4.8,18.9,20.7,13.8,1.7,3,41.9,137-279,0.491,8.3,'51-148',0.345,2020
39,Sr,'6-0',Jermaine Marrow,Hampton,BSth,77.6,4.7,0,105.7,34.6,45,51.3,2.2,7.2,37.6,12.9,0.2,1.6,46.9,144-310,0.465,10.5,'51-180',0.283,2020
40,Jr,'6-4',Ty-Shon Alexander,Creighton,BE,87.4,4.6,7.1,114.8,21.9,53,58.5,0.9,14.8,12.3,10.4,0.8,2.2,35.8,77-169,0.456,10.9,'79-200',0.395,2020
41,Jr,'6-0',Marreon Jackson,Toledo,MAC,88.4,4.6,4.4,110.3,29.6,51.6,56.7,2.1,10.7,33.2,16.8,0,2.3,37.6,95-207,0.459,13.6,'97-259',0.375,2020
42,So,'6-2',Marcus Carr,Minnesota,B10,91.4,4.6,4.7,106.6,25.9,45.8,50.2,2.9,12.4,35.6,16.5,0.3,1.4,40,105-256,0.41,7.5,'52-144',0.361,2020
43,Jr,'6-1',Colbey Ross,Pepperdine,WCC,92.3,4.6,2.8,104.1,31.5,47.5,54.4,2.2,12.4,40,20.7,0.5,1.6,40.8,129-293,0.44,9.9,'74-212',0.349,2020
44,Fr,'6-9',Onyeka Okongwu,USC,P12,68.4,4.6,10.9,119.1,23.4,61.9,64.6,12.4,18.4,8.4,15.9,9.8,2.3,50.2,175-281,0.623,0.3,'1-4',0.25,2020
45,So,'6-2',Marcus Zegarowski,Creighton,BE,87.1,4.6,5.9,112,23.7,58.1,60.1,0.6,11.2,27.3,18.4,0.3,1.9,21.5,103-191,0.539,9.4,'72-172',0.419,2020
46,Sr,'6-1',Ivan Gandia-Rosa,North Florida,ASun,83.8,4.6,3.1,121.2,23.2,55.1,59.7,2.5,8.9,37.1,17.8,0.1,1.8,29,69-127,0.543,10.8,'72-194',0.371,2020
47,Jr,'6-10',Paul Atkinson,Yale,Ivy,79.7,4.6,7,119.6,24.5,63.3,65.1,8.6,17.4,10.1,14.6,2.8,2.1,50.5,191-298,0.641,0.8,'4-13',0.308,2020
48,Jr,'6-7',Jordan Nwora,Louisville,ACC,82.2,4.6,7.1,111.2,26,52.8,56.9,6,19.8,8.4,14.5,0.9,1.3,29.8,113-241,0.469,10.9,'76-189',0.402,2020
49,Jr,'5-8',Terrell Gomez,Cal St. Northridge,BW,93.8,4.6,1.8,118.1,22.4,55.4,60,1,6.7,12.4,9.9,0,1.3,24.2,92-211,0.436,11.6,'102-231',0.442,2020
50,So,'6-3',Immanuel Quickley,Kentucky,SEC,78.9,4.6,6.3,117.9,22.2,51.1,59.5,2.1,11.9,11.7,12.8,0.5,1.6,47.1,76-186,0.409,8.6,'62-145',0.428,2020
1,Sr,'6-11',Luka Garza,Iowa,B10,78.8,7,12.5,124,30.4,59.6,62,10.4,18.2,12.1,8.9,5.2,1.2,39.2,237-408,0.581,5.7,'44-100',0.44,2021
2,So,'6-1',Max Abmas,Oral Roberts,Sum,95.8,6.6,6.5,121.8,28.9,58.1,63,1.4,7.9,22.3,12.3,0.4,2.1,33.2,119-231,0.515,12.4,'97-224',0.433,2021
3,Jr,'5-11',Kendric Davis,SMU,Amer,86.8,6.5,9.7,121.6,27.6,53.4,58.3,1.6,11.5,46.2,14.1,0.2,2.6,35.4,89-170,0.524,6.4,'25-67',0.373,2021
4,Fr,'6-4',Cameron Thomas,LSU,SEC,84.6,6,5.3,114.6,29.2,47.4,55.3,2,8.2,8.3,9.4,0.7,1.4,44,135-291,0.464,11.7,'68-209',0.325,2021
5,So,'6-10',Drew Timme,Gonzaga,WCC,70.1,5.9,10.9,129.3,26.5,66.3,67.7,10.4,18.5,14.4,12.8,2.5,1.3,50.8,231-340,0.679,1.3,'6-22',0.273,2021
6,So,'6-9',Matthew Hurt,Duke,ACC,80.7,5.8,8.9,129.7,21,64.9,66.1,5.1,17,8.1,9.8,2.1,1.3,25.7,108-170,0.635,9.3,'56-126',0.444,2021
7,Sr,'6-7',Corey Kispert,Gonzaga,WCC,79.2,5.8,10.4,131.2,20.7,64.4,67.4,3.8,13.9,9,10.7,1.4,1.5,24.8,118-188,0.628,10.9,'91-207',0.44,2021
8,Sr,'6-0',McKinley Wright IV,Colorado,P12,81.3,5.7,9.2,118.6,26.3,51.8,56.8,3.3,12.8,36.9,15.1,1,1.9,32.9,150-279,0.538,5.4,'28-92',0.304,2021
9,Jr,'6-5',Ayo Dosunmu,Illinois,B10,78.4,5.5,8.3,110.8,29.4,52.6,56.6,3.9,15.8,29.2,18,0.6,1.8,33.3,178-347,0.513,4.7,'32-83',0.386,2021
10,So,'6-1',Scotty Pippen Jr.,Vanderbilt,SEC,70.1,5.5,6.8,108.8,35.1,49.5,57.5,3.6,6.9,36.8,19.6,0.6,3.2,52.5,93-198,0.47,9.8,'43-120',0.358,2021
11,Sr,'6-8',Sam Hauser,Virginia,ACC,85.2,5.4,9.1,123.6,22.2,61.1,63.5,3.4,21.6,11.6,9,1.4,1.1,16.4,84-141,0.596,11.6,'63-151',0.417,2021
12,Fr,'7-0',Evan Mobley,USC,P12,83.6,5.4,12.6,119.4,23.4,59.5,62.4,9.7,18.8,14.1,16.6,8.7,1.4,56.6,185-301,0.615,2.1,12-40',0.3,2021
13,Sr,'6-6',Chris Duarte,Oregon,P12,79.1,5.4,10.4,120.2,22.5,63.3,65.7,2.8,14,14.9,17.5,2.8,3.3,26.2,99-157,0.631,9.6,'61-144',0.424,2021
14,So,'6-2',Miles McBride,West Virginia,B12,84.3,5.3,8.8,117.9,23,49.3,54.3,3.7,9.2,28.6,13.2,1,3.2,33.9,110-252,0.437,6.4,'46-111',0.414,2021
15,Jr,'6-5',Quentin Grimes,Houston,Amer,79.4,5.3,10,118.2,25.3,52.3,55.8,5.4,14.1,12.6,13.5,1.2,2.6,26.5,73-178,0.41,15.4,'100-248',0.403,2021
16,Sr,'6-9',Oscar da Silva,Stanford,P12,70.4,5.3,8.9,116.3,27.1,59.4,64,7.2,17.3,18,16.7,3.7,1.6,49.5,146-236,0.619,3.4,'14-45',0.311,2021
17,Sr,'6-2',Alex Barcello,BYU,WCC,79.8,5.2,9.3,123.3,22.4,60.5,64.7,1.8,13.7,25.7,16.6,0,1.8,35.1,89-165,0.539,7.2,'50-106',0.472,2021
18,Sr,'6-5',Terry Taylor,Austin Peay,OVC,92.6,5.2,5.2,116.7,28.2,53.9,57.5,16.4,21,10.3,14.9,2.9,1.9,30.6,189-332,0.569,5,'22-80',0.275,2021
19,Sr,'6-9',Moses Wright,Georgia Tech,ACC,82.8,5.2,6.3,114.5,25.8,54.8,56.8,11.5,17.5,13.7,11.2,5.4,2.3,33.6,163-300,0.543,2,'12-30',0.4,2021
